"MLS #","Status","Address","City","Zip Code","Current Price","Year Built","Tax Assessed Value","Above Grade Finished SQFT","Status Contractual Search Date","Beds","Baths","Price/SqFt","RATIO Close Price By List Price"
"VALO407320","CLS","41237 Lenah Point Dr","Aldie","20105","$772,128","2019","$396,920.00","3,513","04/30/19","4","3/1","$219.79","1.00000"
"VALO385360","CLS","23098 Red Sunset Pl","Aldie","20105","$1,474,173","2019","$886,080.00","5,750","03/28/19","4","3/1","$256.38","1.00000"
"VALO354820","CLS","23741 Kilkerran Dr","Aldie","20105","$794,937","2018","$175,600.00","3,902","02/26/19","4","4/1","$203.73","1.00000"
"VALO356590","CLS","41464 Courtney Nicole Pl","Aldie","20105","$930,788","2018","$850,000.00","4,417","01/24/19","5","4/1","$210.73","1.00000"
"VALO2001836","CLS","41598 Bassett Pl","Aldie","20105","$850,000","2015","$694,250.00","2,698","08/10/21","4","3/1","$315.05","1.00000"
"VALO424720","CLS","24982 Great Berkhamsted Dr","Aldie","20105","$785,000","2013","$675,650.00","3,264","11/30/20","4","4/1","$240.50","1.00000"
"VALO421910","CLS","41680 Truly Cir","Aldie","20105","$825,000","2014","$663,610.00","3,250","10/30/20","4","4/1","$253.85","1.00000"
"VALO415372","CLS","41621 Hoffman Dr","Aldie","20105","$725,000","2014","$606,680.00","2,920","08/31/20","4","3/1","$248.29","0.97315"
"VALO416916","CLS","24881 McNair Pl","Aldie","20105","$740,000","2013","$651,240.00","3,235","08/28/20","5","4/1","$228.75","1.00680"
"VALO401992","CLS","41563 Bassett Pl","Aldie","20105","$726,350","2015","$641,120.00","3,250","03/02/20","4","4/1","$223.49","1.03764"
"VALO418482","CLS","25062 Lind Ct","Aldie","20105","$780,800","2015","$664,220.00","3,250","10/13/20","4","3/1","$240.25","1.05528"
"VALO403400","CLS","25050 Lind Ct","Aldie","20105","$735,000","2016","$645,580.00","3,220","03/24/20","4","4/1","$228.26","0.99338"
"VALO435568","CLS","24987 Great Berkhamsted Dr","Aldie","20105","$772,350","2014","$611,160.00","2,263","06/22/21","3","3","$341.29","1.10351"
"VALO432380","CLS","41656 Brandenstein Dr","Aldie","20105","$710,300","2014","$599,880.00","2,258","04/19/21","3","3","$314.57","1.09277"
"VALO2008804","CLS","41612 Hoffman Dr","Aldie","20105","$840,000","2015","$693,420.00","2,820","11/05/21","5","3/1","$297.87","1.01818"
"VALO437260","CLS","24992 Givens Pl","Aldie","20105","$920,000","2015","$703,320.00","2,720","06/17/21","5","3/1","$338.24","1.08235"
"VALO436658","CLS","41636 Mattingly Dr","Aldie","20105","$875,000","2013","$724,150.00","3,236","06/09/21","5","4/1","$270.40","1.10063"
"VALO436350","CLS","24909 Oswald Way","Aldie","20105","$752,800","2015","$621,170.00","2,536","05/21/21","4","2/1","$296.85","1.10706"
"VALO433268","CLS","25055 Lind Ct","Aldie","20105","$810,000","2015","$659,740.00","2,688","04/15/21","4","3/1","$301.34","1.08000"
"VALO422680","CLS","41608 Hoffman Dr","Aldie","20105","$785,000","2015","$659,970.00","3,112","11/12/20","5","4/1","$252.25","1.05369"
"VALO439838","CLS","41647 Adamson Dr","Aldie","20105","$703,000","2014","$651,500.00","2,496","06/18/21","4","3/1","$281.65","1.01884"
"VALO425194","CLS","25123 Great Berkhamsted Dr","Aldie","20105","$775,000","2011","$654,360.00","3,196","11/05/20","4","4/1","$242.49","1.00000"
"VALO419596","CLS","24859 Falling Brook Cir","Aldie","20105","$936,728","2020","$0.00","0","07/30/20","4","4/1","","1.00000"
"VALO413634","CLS","41350 Tarragon Leaf Dr","Aldie","20105","$768,222","0","$0.00","0","06/10/20","6","5/1","","1.00000"
"VALO439894","CLS","41379 Cigar Tree Way","Aldie","20105","$799,207","2021","$0.00","3,120","05/28/21","4","4","$256.16","1.00000"
"VALO437146","CLS","24924 Falling Brook Cir","Aldie","20105","$950,095","2021","$0.00","3,900","04/29/21","5","5","$243.61","1.00000"
"VALO407344","CLS","23409 Lacebark Elm Ln","Aldie","20105","$884,590","2019","$291,000.00","3,987","05/21/19","5","5","$221.87","1.00000"
"VALO2008010","CLS","41383 Cigar Tree Way","Aldie","20105","$856,031","0","$239,900.00","0","09/09/21","4","3/1","","1.00000"
"VALO437524","CLS","24821 Scarlet Maple Court","Aldie","20105","$764,774","2021","$0.00","3,133","04/30/21","4","4","$244.10","1.00000"
"VALO404902","CLS","24871 Chapman Grove Way","Aldie","20105","$999,990","2020","$0.00","5,275","11/10/20","6","4/1","$189.57","1.00000"
"VALO403372","CLS","24870 Chapman Grove Way","Aldie","20105","$1,358,803","2020","$0.00","6,835","05/08/20","5","7/1","$198.80","1.02166"
"VALO380816","CLS","24895 Deepdale Ct","Aldie","20105","$910,000","2018","$0.00","4,954","12/09/19","6","5/1","$183.69","0.97851"
